id,editedSkills
00cad896-5792-4bab-b4ce-0359391b3ff0,"[{""skills"": ""Content"", ""subskills"": [""Writing"", ""Social Media""]}]"
0147379b-9e70-4db9-9434-cb0bbe48e3d1,"[{""skills"": ""Content"", ""subskills"": [""Research"", ""Writing"", ""Social Media""]}]"
01ff4a9c-c33a-4028-b105-455e7b1e36df,"[{""skills"": ""Content"", ""subskills"": [""Writing""]}]"
02051ebf-dd40-4d89-a85c-f3cc6b4a7bd1,"[{""skills"": ""Content"", ""subskills"": [""Writing"", ""Research""]}]"
02a6e5de-1182-401a-820a-227ec5026349,"[{""skills"": ""Blockchain"", ""subskills"": [""Rust""]}]"
02e5649e-77d4-46e8-adbc-20ae5e2d9d42,"[{""skills"": ""Content"", ""subskills"": [""Writing""]}]"
03186f1e-50a1-42db-9ab3-a92d94c09ca9,"[{""skills"": ""Frontend"", ""subskills"": [""React"", ""Angular"", ""Vue""]}, {""skills"": ""Blockchain"", ""subskills"": [""Rust""]}, {""skills"": ""Backend"", ""subskills"": [""Javascript""]}]"
04837286-cfd0-4cf7-99a0-4c13fcdcceaa,"[{""skills"": ""Mobile"", ""subskills"": [""Flutter"", ""React Native""]}, {""skills"": ""Frontend"", ""subskills"": [""React""]}, {""skills"": ""Backend"", ""subskills"": [""Javascript""]}, {""skills"": ""Blockchain"", ""subskills"": []}]"
0508bd46-95f1-4fc0-9127-c94c2c76d556,"[{""skills"": ""Content"", ""subskills"": [""Writing"", ""Social Media""]}]"
0511a068-6290-4bfb-8175-9533e20adfe6,"[{""skills"": ""Content"", ""subskills"": [""Writing"", ""Social Media""]}]"
053bb4dd-a8e6-49b5-8bfe-bae5a2546fc1,"[{""skills"": ""Content"", ""subskills"": [""Writing"", ""Video"", ""Social Media""]}]"
06de6838-c36f-4953-9468-3cb5ddd5a08c,"[{""skills"": ""Content"", ""subskills"": [""Writing"", ""Social Media""]}]"
077f927f-753c-47e0-9909-c7abd784d1b0,"[{""skills"": ""Content"", ""subskills"": [""Video"", ""Writing"", ""Social Media""]}]"
09570845-eab5-41a7-9ce0-bbd12e997cc4,"[{""skills"": ""Design"", ""subskills"": [""Graphic Design"", ""Illustration""]}, {""skills"": ""Content"", ""subskills"": [""Writing""]}, {""skills"": ""Community"", ""subskills"": []}]"
095c6be5-0601-4a27-a72d-c4c67f866a07,"[{""skills"": ""Content"", ""subskills"": [""Social Media"", ""Writing""]}, {""skills"": ""Growth"", ""subskills"": []}]"
09fc1460-b1a8-4387-a447-9ddb2a6e9761,"[{""skills"": ""Content"", ""subskills"": [""Writing"", ""Social Media""]}]"
0a847bdf-d460-4277-aa16-c607d1ffbf80,"[{""skills"": ""Content"", ""subskills"": [""Writing"", ""Research"", ""Social Media""]}, {""skills"": ""Growth"", ""subskills"": [""Business Development""]}]"
0b4d6fe6-0d80-4b4b-8936-147b5826a8eb,"[{""skills"": ""Content"", ""subskills"": [""Writing"", ""Research""]}]"
0bb3488a-e57c-4d05-84c9-cfd83fb9ff47,"[{""skills"": ""Content"", ""subskills"": [""Writing"", ""Video"", ""Social Media""]}]"
0d0cd431-8519-4afc-a7f4-abffb1823fd6,"[{""skills"": ""Content"", ""subskills"": [""Writing"", ""Research""]}]"
0da0ad14-02a7-468f-996d-0ad4fc8a891e,"[{""skills"": ""Content"", ""subskills"": [""Writing"", ""Social Media""]}]"
0ef369d9-18bf-44a1-90d1-edc8ecdaf575,"[{""skills"": ""Content"", ""subskills"": [""Social Media""]}]"
0f34bbd8-1d58-448c-978d-361a9644deb8,"[{""skills"": ""Content"", ""subskills"": [""Video"", ""Writing"", ""Social Media""]}]"
